kind,library,codegen,api,test_case,repetition,iterations,bytes,elapsed_ns,ns_per_encode,encodes_per_second,checksum
protobuf,google_protobuf,speed,SerializeToString,one_string_ten_int64,1,1000000,49,57189037.000,57.189,17485868.839,49000000
protobuf,google_protobuf,speed,SerializeToString,one_string_ten_int64,2,1000000,49,56115280.000,56.115,17820458.171,49000000
protobuf,google_protobuf,speed,SerializeToString,one_string_ten_int64,3,1000000,49,55196523.000,55.197,18117083.208,49000000
protobuf,google_protobuf,speed,SerializeToString,one_string_ten_int64,4,1000000,49,55168680.000,55.169,18126226.692,49000000
protobuf,google_protobuf,speed,SerializeToString,one_string_ten_int64,5,1000000,49,56732697.000,56.733,17626519.677,49000000
protobuf,google_protobuf,speed,SerializeToString,one_string_ten_int64,6,1000000,49,56994159.000,56.994,17545657.617,49000000
protobuf,google_protobuf,speed,SerializeToString,one_string_ten_int64,7,1000000,49,55955807.000,55.956,17871246.143,49000000
protobuf,google_protobuf,speed,SerializeToString,one_string_ten_int64,8,1000000,49,58028227.000,58.028,17232992.488,49000000
protobuf,google_protobuf,speed,SerializeToString,one_string_ten_int64,9,1000000,49,56174788.000,56.175,17801580.310,49000000
protobuf,google_protobuf,speed,SerializeToString,one_string_ten_int64,10,1000000,49,56281798.000,56.282,17767733.717,49000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,one_string_ten_int64,1,1000000,49,53456747.000,53.457,18706712.550,49000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,one_string_ten_int64,2,1000000,49,52996665.000,52.997,18869111.858,49000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,one_string_ten_int64,3,1000000,49,52634686.000,52.635,18998878.420,49000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,one_string_ten_int64,4,1000000,49,52857116.000,52.857,18918928.532,49000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,one_string_ten_int64,5,1000000,49,52125109.000,52.125,19184612.161,49000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,one_string_ten_int64,6,1000000,49,52959912.000,52.960,18882206.602,49000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,one_string_ten_int64,7,1000000,49,52599009.000,52.599,19011765.032,49000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,one_string_ten_int64,8,1000000,49,52363895.000,52.364,19097127.897,49000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,one_string_ten_int64,9,1000000,49,52115032.000,52.115,19188321.711,49000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,one_string_ten_int64,10,1000000,49,52412252.000,52.412,19079508.356,49000000
protobuf,google_protobuf,speed,SerializeToString,one_string_ten_decimal_strings,1,1000000,213,146641858.000,146.642,6819335.309,213000000
protobuf,google_protobuf,speed,SerializeToString,one_string_ten_decimal_strings,2,1000000,213,145985016.000,145.985,6850018.087,213000000
protobuf,google_protobuf,speed,SerializeToString,one_string_ten_decimal_strings,3,1000000,213,145850903.000,145.851,6856316.824,213000000
protobuf,google_protobuf,speed,SerializeToString,one_string_ten_decimal_strings,4,1000000,213,147490625.000,147.491,6780091.955,213000000
protobuf,google_protobuf,speed,SerializeToString,one_string_ten_decimal_strings,5,1000000,213,146826345.000,146.826,6810766.828,213000000
