kind,library,codegen,api,test_case,repetition,iterations,bytes,elapsed_ns,ns_per_encode,encodes_per_second,checksum
protobuf,google_protobuf,speed,SerializeToString,one_string_ten_int64,1,1000000,49,57032492.000,57.032,17533864.731,49000000
protobuf,google_protobuf,speed,SerializeToString,one_string_ten_int64,2,1000000,49,52265986.000,52.266,19132902.228,49000000
protobuf,google_protobuf,speed,SerializeToString,one_string_ten_int64,3,1000000,49,54267981.000,54.268,18427072.126,49000000
protobuf,google_protobuf,speed,SerializeToString,one_string_ten_int64,4,1000000,49,53027090.000,53.027,18858285.454,49000000
protobuf,google_protobuf,speed,SerializeToString,one_string_ten_int64,5,1000000,49,52652326.000,52.652,18992513.265,49000000
protobuf,google_protobuf,speed,SerializeToString,one_string_ten_int64,6,1000000,49,52330939.000,52.331,19109154.529,49000000
protobuf,google_protobuf,speed,SerializeToString,one_string_ten_int64,7,1000000,49,51307885.000,51.308,19490181.675,49000000
protobuf,google_protobuf,speed,SerializeToString,one_string_ten_int64,8,1000000,49,54774547.000,54.775,18256654.866,49000000
protobuf,google_protobuf,speed,SerializeToString,one_string_ten_int64,9,1000000,49,55320278.000,55.320,18076554.134,49000000
protobuf,google_protobuf,speed,SerializeToString,one_string_ten_int64,10,1000000,49,52838106.000,52.838,18925735.150,49000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,one_string_ten_int64,1,1000000,49,47413435.000,47.413,21091068.386,49000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,one_string_ten_int64,2,1000000,49,47968217.000,47.968,20847137.178,49000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,one_string_ten_int64,3,1000000,49,47787453.000,47.787,20925994.947,49000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,one_string_ten_int64,4,1000000,49,47599523.000,47.600,21008613.889,49000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,one_string_ten_int64,5,1000000,49,48741925.000,48.742,20516218.840,49000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,one_string_ten_int64,6,1000000,49,47178918.000,47.179,21195907.884,49000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,one_string_ten_int64,7,1000000,49,46736746.000,46.737,21396440.394,49000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,one_string_ten_int64,8,1000000,49,48206582.000,48.207,20744055.241,49000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,one_string_ten_int64,9,1000000,49,47123006.000,47.123,21221057.078,49000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,one_string_ten_int64,10,1000000,49,47239084.000,47.239,21168911.743,49000000
protobuf,google_protobuf,speed,SerializeToString,one_string_ten_decimal_strings,1,1000000,213,141301203.000,141.301,7077080.582,213000000
protobuf,google_protobuf,speed,SerializeToString,one_string_ten_decimal_strings,2,1000000,213,143575539.000,143.576,6964974.723,213000000
protobuf,google_protobuf,speed,SerializeToString,one_string_ten_decimal_strings,3,1000000,213,140792551.000,140.793,7102648.492,213000000
protobuf,google_protobuf,speed,SerializeToString,one_string_ten_decimal_strings,4,1000000,213,143337174.000,143.337,6976557.247,213000000
protobuf,google_protobuf,speed,SerializeToString,one_string_ten_decimal_strings,5,1000000,213,142428429.000,142.428,7021070.211,213000000
protobuf,google_protobuf,speed,SerializeToString,one_string_ten_decimal_strings,6,1000000,213,143440583.000,143.441,6971527.716,213000000
protobuf,google_protobuf,speed,SerializeToString,one_string_ten_decimal_strings,7,1000000,213,143119764.000,143.120,6987155.177,213000000
protobuf,google_protobuf,speed,SerializeToString,one_string_ten_decimal_strings,8,1000000,213,141969297.000,141.969,7043776.515,213000000
protobuf,google_protobuf,speed,SerializeToString,one_string_ten_decimal_strings,9,1000000,213,141789220.000,141.789,7052722.344,213000000
protobuf,google_protobuf,speed,SerializeToString,one_string_ten_decimal_strings,10,1000000,213,141303652.000,141.304,7076957.926,213000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,one_string_ten_decimal_strings,1,1000000,213,137446136.000,137.446,7275577.394,213000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,one_string_ten_decimal_strings,2,1000000,213,138459607.000,138.460,7222322.970,213000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,one_string_ten_decimal_strings,3,1000000,213,136765817.000,136.766,7311768.554,213000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,one_string_ten_decimal_strings,4,1000000,213,134897054.000,134.897,7413060.333,213000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,one_string_ten_decimal_strings,5,1000000,213,137863021.000,137.863,7253576.722,213000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,one_string_ten_decimal_strings,6,1000000,213,135175316.000,135.175,7397800.350,213000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,one_string_ten_decimal_strings,7,1000000,213,136763775.000,136.764,7311877.725,213000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,one_string_ten_decimal_strings,8,1000000,213,135027892.000,135.028,7405877.298,213000000
