mode,threads,repetition,iterations,bytes,elapsed_ns,ns_per_encode,encodes_per_second,checksum
shared_buffer_mutex,8,1,1000000,49,391832670.000,391.833,2552109.807,49000000
shared_buffer_mutex,8,2,1000000,49,390629315.000,390.629,2559971.722,49000000
shared_buffer_mutex,8,3,1000000,49,393152660.000,393.153,2543541.229,49000000
shared_buffer_mutex,8,4,1000000,49,386476733.000,386.477,2587477.886,49000000
shared_buffer_mutex,8,5,1000000,49,393514313.000,393.514,2541203.628,49000000
shared_buffer_mutex,8,6,1000000,49,393322674.000,393.323,2542441.782,49000000
shared_buffer_mutex,8,7,1000000,49,400018544.000,400.019,2499884.105,49000000
shared_buffer_mutex,8,8,1000000,49,391226132.000,391.226,2556066.475,49000000
shared_buffer_mutex,8,9,1000000,49,390853401.000,390.853,2558504.026,49000000
shared_buffer_mutex,8,10,1000000,49,392586903.000,392.587,2547206.726,49000000
