distribution,repetition,iterations,mean_bytes,serialized_bytes_last,elapsed_ns,ns_per_encode,encodes_per_second,checksum
int64_small_varints,1,1000000,29,29,56337597.000,56.338,17750135.846,10000000
int64_small_varints,2,1000000,29.000,29,55408527.000,55.409,18047763.659,10000000
int64_small_varints,3,1000000,29.000,29,55455120.000,55.455,18032600.056,10000000
int64_small_varints,4,1000000,29.000,29,55758254.000,55.758,17934564.450,10000000
int64_small_varints,5,1000000,29.000,29,54488101.000,54.488,18352630.788,10000000
int64_small_varints,6,1000000,29.000,29,55675580.000,55.676,17961195.914,10000000
int64_small_varints,7,1000000,29.000,29,55883422.000,55.883,17894394.513,10000000
int64_small_varints,8,1000000,29.000,29,53833925.000,53.834,18575647.234,10000000
int64_small_varints,9,1000000,29.000,29,54482102.000,54.482,18354651.588,10000000
int64_small_varints,10,1000000,29.000,29,55975137.000,55.975,17865074.631,10000000
int64_large_varints,1,1000000,109.000,109,101219772.000,101.220,9879492.714,10000000
int64_large_varints,2,1000000,109.000,109,102531365.000,102.531,9753113.108,10000000
int64_large_varints,3,1000000,109.000,109,101648641.000,101.649,9837809.834,10000000
int64_large_varints,4,1000000,109.000,109,103530449.000,103.530,9658994.138,10000000
int64_large_varints,5,1000000,109.000,109,104022816.000,104.023,9613275.611,10000000
int64_large_varints,6,1000000,109.000,109,100836354.000,100.836,9917058.286,10000000
int64_large_varints,7,1000000,109.000,109,100258751.000,100.259,9974191.679,10000000
int64_large_varints,8,1000000,109.000,109,101491816.000,101.492,9853011.202,10000000
int64_large_varints,9,1000000,109.000,109,101902071.000,101.902,9813343.244,10000000
int64_large_varints,10,1000000,109.000,109,101922735.000,101.923,9811353.669,10000000
int64_negative_standard_varint,1,1000000,119.000,119,102374270.000,102.374,9768079.421,10000000
int64_negative_standard_varint,2,1000000,119.000,119,101106255.000,101.106,9890584.910,10000000
int64_negative_standard_varint,3,1000000,119.000,119,102344262.000,102.344,9770943.485,10000000
int64_negative_standard_varint,4,1000000,119.000,119,100932651.000,100.933,9907596.700,10000000
int64_negative_standard_varint,5,1000000,119.000,119,101111269.000,101.111,9890094.446,10000000
int64_negative_standard_varint,6,1000000,119.000,119,101099785.000,101.100,9891217.870,10000000
int64_negative_standard_varint,7,1000000,119.000,119,101179802.000,101.180,9883395.502,10000000
int64_negative_standard_varint,8,1000000,119.000,119,101132341.000,101.132,9888033.740,10000000
int64_negative_standard_varint,9,1000000,119.000,119,101422918.000,101.423,9859704.490,10000000
int64_negative_standard_varint,10,1000000,119.000,119,101263480.000,101.263,9875228.463,10000000
int64_mixed_distribution,1,1000000,76.500,76,80030694.000,80.031,12495205.902,10000000
int64_mixed_distribution,2,1000000,76.500,76,80530089.000,80.530,12417718.798,10000000
int64_mixed_distribution,3,1000000,76.500,76,81354954.000,81.355,12291814.460,10000000
int64_mixed_distribution,4,1000000,76.500,76,80979250.000,80.979,12348842.450,10000000
int64_mixed_distribution,5,1000000,76.500,76,80470329.000,80.470,12426940.618,10000000
