mode,threads,repetition,iterations,bytes,elapsed_ns,ns_per_encode,encodes_per_second,checksum
thread_local,4,1,1000000,49,43864959.000,43.865,22797240.048,49000000
thread_local,4,2,1000000,49,43986895.000,43.987,22734043.856,49000000
thread_local,4,3,1000000,49,44079385.000,44.079,22686341.926,49000000
thread_local,4,4,1000000,49,47657964.000,47.658,20982851.890,49000000
thread_local,4,5,1000000,49,44916979.000,44.917,22263296.024,49000000
thread_local,4,6,1000000,49,43548356.000,43.548,22962979.360,49000000
thread_local,4,7,1000000,49,43782576.000,43.783,22840136.222,49000000
thread_local,4,8,1000000,49,43763116.000,43.763,22850292.470,49000000
thread_local,4,9,1000000,49,43836240.000,43.836,22812175.497,49000000
thread_local,4,10,1000000,49,44025790.000,44.026,22713959.250,49000000
