kind,path,test_case,repetition,iterations,bytes,p50_ns,p90_ns,p99_ns,p99_9_ns,p99_99_ns,max_ns,mean_ns,allocations,allocated_bytes,checksum
protobuf,serialize_array_reuse,one_string_ten_int64,1,1000000,49,76,80,82,111,1071,16953,76.8285,0,0,49000000
protobuf,serialize_array_reuse,one_string_ten_int64,2,1000000,49,76,80,82,113,676,56661,77.3013,0,0,49000000
protobuf,serialize_array_reuse,one_string_ten_int64,3,1000000,49,78,80,83,101,378,151490,77.7625,0,0,49000000
protobuf,serialize_array_reuse,one_string_ten_int64,4,1000000,49,75,79,82,101,710,25447,75.2999,0,0,49000000
protobuf,serialize_array_reuse,one_string_ten_int64,5,1000000,49,76,79,81,111,872,19137,76.1402,0,0,49000000
protobuf,serialize_array_reuse,one_string_ten_int64,6,1000000,49,75,79,80,101,521,10717,75.3114,0,0,49000000
protobuf,serialize_array_reuse,one_string_ten_int64,7,1000000,49,76,80,82,108,734,22178,76.5432,0,0,49000000
protobuf,serialize_array_reuse,one_string_ten_int64,8,1000000,49,75,80,82,86,589,63310,75.9,0,0,49000000
protobuf,serialize_array_reuse,one_string_ten_int64,9,1000000,49,75,78,81,96,563,10486,75.1034,0,0,49000000
protobuf,serialize_array_reuse,one_string_ten_int64,10,1000000,49,75,80,82,113,1296,13140,75.7695,0,0,49000000
protobuf,serialize_array_fresh_buffer,one_string_ten_int64,1,1000000,49,85,89,93,195,2063,65276,85.8542,1000000,49000000,49000000
protobuf,serialize_array_fresh_buffer,one_string_ten_int64,2,1000000,49,86,90,92,189,1933,15049,86.2955,1000000,49000000,49000000
protobuf,serialize_array_fresh_buffer,one_string_ten_int64,3,1000000,49,83,87,90,189,670,11120,83.9781,1000000,49000000,49000000
protobuf,serialize_array_fresh_buffer,one_string_ten_int64,4,1000000,49,86,89,93,182,1994,53193,85.8439,1000000,49000000,49000000
protobuf,serialize_array_fresh_buffer,one_string_ten_int64,5,1000000,49,85,90,93,184,2022,20298,86.133,1000000,49000000,49000000
protobuf,serialize_array_fresh_buffer,one_string_ten_int64,6,1000000,49,84,89,91,161,916,10561,84.8699,1000000,49000000,49000000
protobuf,serialize_array_fresh_buffer,one_string_ten_int64,7,1000000,49,84,88,91,172,1911,14425,84.9943,1000000,49000000,49000000
protobuf,serialize_array_fresh_buffer,one_string_ten_int64,8,1000000,49,86,88,92,179,1261,10210,85.817,1000000,49000000,49000000
protobuf,serialize_array_fresh_buffer,one_string_ten_int64,9,1000000,49,86,90,92,180,1313,10032,86.0688,1000000,49000000,49000000
protobuf,serialize_array_fresh_buffer,one_string_ten_int64,10,1000000,49,85,90,92,188,923,253855,86.2379,1000000,49000000,49000000
protobuf,serialize_string_reserved,one_string_ten_int64,1,1000000,49,80,84,88,137,1722,27469,81.0943,0,0,49000000
protobuf,serialize_string_reserved,one_string_ten_int64,2,1000000,49,82,88,90,155,843,21049,82.9523,0,0,49000000
protobuf,serialize_string_reserved,one_string_ten_int64,3,1000000,49,80,84,88,145,741,19337,80.4795,0,0,49000000
protobuf,serialize_string_reserved,one_string_ten_int64,4,1000000,49,81,85,88,156,1096,10335,81.5204,0,0,49000000
protobuf,serialize_string_reserved,one_string_ten_int64,5,1000000,49,80,84,89,156,916,43761,80.9668,0,0,49000000
protobuf,serialize_string_reserved,one_string_ten_int64,6,1000000,49,78,85,127,176,5714,33514,79.9865,0,0,49000000
protobuf,serialize_string_reserved,one_string_ten_int64,7,1000000,49,81,85,88,148,1984,25003,81.5677,0,0,49000000
protobuf,serialize_string_reserved,one_string_ten_int64,8,1000000,49,82,87,91,154,1876,49956,83.1826,0,0,49000000
protobuf,serialize_string_reserved,one_string_ten_int64,9,1000000,49,80,85,89,151,860,14983,81.5004,0,0,49000000
protobuf,serialize_string_reserved,one_string_ten_int64,10,1000000,49,80,83,87,149,1648,21478,80.6437,0,0,49000000
protobuf,serialize_array_arena_message,one_string_ten_int64,1,1000000,49,74,78,80,113,555,22187,74.4043,0,0,49000000
protobuf,serialize_array_arena_message,one_string_ten_int64,2,1000000,49,74,78,81,121,787,22676,74.524,0,0,49000000
protobuf,serialize_array_arena_message,one_string_ten_int64,3,1000000,49,74,77,79,106,756,11306,74.374,0,0,49000000
protobuf,serialize_array_arena_message,one_string_ten_int64,4,1000000,49,74,78,81,84,644,60036,75.117,0,0,49000000
protobuf,serialize_array_arena_message,one_string_ten_int64,5,1000000,49,75,78,80,120,500,12040,74.7258,0,0,49000000
