mode,threads,repetition,iterations,bytes,elapsed_ns,ns_per_encode,encodes_per_second,checksum
shared_readonly,4,1,1000000,49,45734746.000,45.735,21865213.814,49000000
shared_readonly,4,2,1000000,49,45294546.000,45.295,22077713.286,49000000
shared_readonly,4,3,1000000,49,45476598.000,45.477,21989331.744,49000000
shared_readonly,4,4,1000000,49,45329514.000,45.330,22060682.142,49000000
shared_readonly,4,5,1000000,49,45281038.000,45.281,22084299.393,49000000
shared_readonly,4,6,1000000,49,45454976.000,45.455,21999791.618,49000000
shared_readonly,4,7,1000000,49,45263738.000,45.264,22092740.109,49000000
shared_readonly,4,8,1000000,49,45072773.000,45.073,22186342.961,49000000
shared_readonly,4,9,1000000,49,45260199.000,45.260,22094467.592,49000000
shared_readonly,4,10,1000000,49,45155573.000,45.156,22145660.736,49000000
