kind,library,codegen,api,test_case,repetition,iterations,bytes,elapsed_ns,ns_per_encode,encodes_per_second,checksum
registry,confluent_schema_registry,google_speed,cached_id_framed_in_place,one_string_ten_int64,1,1000000,55,60871741.000,60.872,16427984.210,55000000
registry,confluent_schema_registry,google_speed,cached_id_framed_in_place,one_string_ten_int64,2,1000000,55,55157298.000,55.157,18129967.135,55000000
registry,confluent_schema_registry,google_speed,cached_id_framed_in_place,one_string_ten_int64,3,1000000,55,57650351.000,57.650,17345948.163,55000000
registry,confluent_schema_registry,google_speed,cached_id_framed_in_place,one_string_ten_int64,4,1000000,55,57094420.000,57.094,17514846.460,55000000
registry,confluent_schema_registry,google_speed,cached_id_framed_in_place,one_string_ten_int64,5,1000000,55,57258671.000,57.259,17464603.745,55000000
registry,confluent_schema_registry,google_speed,cached_id_framed_in_place,one_string_ten_int64,6,1000000,55,55745515.000,55.746,17938662.868,55000000
registry,confluent_schema_registry,google_speed,cached_id_framed_in_place,one_string_ten_int64,7,1000000,55,57457059.000,57.457,17404301.880,55000000
registry,confluent_schema_registry,google_speed,cached_id_framed_in_place,one_string_ten_int64,8,1000000,55,56073185.000,56.073,17833836.262,55000000
registry,confluent_schema_registry,google_speed,cached_id_framed_in_place,one_string_ten_int64,9,1000000,55,55304003.000,55.304,18081873.748,55000000
registry,confluent_schema_registry,google_speed,cached_id_framed_in_place,one_string_ten_int64,10,1000000,55,57245490.000,57.245,17468625.039,55000000
registry,confluent_schema_registry,google_speed,cached_id_framed_with_copy,one_string_ten_int64,1,1000000,55,59137859.000,59.138,16909641.588,55000000
registry,confluent_schema_registry,google_speed,cached_id_framed_with_copy,one_string_ten_int64,2,1000000,55,58847955.000,58.848,16992943.935,55000000
registry,confluent_schema_registry,google_speed,cached_id_framed_with_copy,one_string_ten_int64,3,1000000,55,59174922.000,59.175,16899050.581,55000000
registry,confluent_schema_registry,google_speed,cached_id_framed_with_copy,one_string_ten_int64,4,1000000,55,59288799.000,59.289,16866592.288,55000000
registry,confluent_schema_registry,google_speed,cached_id_framed_with_copy,one_string_ten_int64,5,1000000,55,59024002.000,59.024,16942260.201,55000000
registry,confluent_schema_registry,google_speed,cached_id_framed_with_copy,one_string_ten_int64,6,1000000,55,59312082.000,59.312,16859971.296,55000000
registry,confluent_schema_registry,google_speed,cached_id_framed_with_copy,one_string_ten_int64,7,1000000,55,58834990.000,58.835,16996688.535,55000000
registry,confluent_schema_registry,google_speed,cached_id_framed_with_copy,one_string_ten_int64,8,1000000,55,59184821.000,59.185,16896224.118,55000000
registry,confluent_schema_registry,google_speed,cached_id_framed_with_copy,one_string_ten_int64,9,1000000,55,61069821.000,61.070,16374700.034,55000000
registry,confluent_schema_registry,google_speed,cached_id_framed_with_copy,one_string_ten_int64,10,1000000,55,60315087.000,60.315,16579599.728,55000000
registry,confluent_schema_registry,google_speed,cached_serializer_string,one_string_ten_int64,1,1000000,55,65443704.000,65.444,15280308.706,55000000
registry,confluent_schema_registry,google_speed,cached_serializer_string,one_string_ten_int64,2,1000000,55,65149283.000,65.149,15349363.093,55000000
registry,confluent_schema_registry,google_speed,cached_serializer_string,one_string_ten_int64,3,1000000,55,65786656.000,65.787,15200651.026,55000000
registry,confluent_schema_registry,google_speed,cached_serializer_string,one_string_ten_int64,4,1000000,55,65612863.000,65.613,15240913.965,55000000
registry,confluent_schema_registry,google_speed,cached_serializer_string,one_string_ten_int64,5,1000000,55,65123261.000,65.123,15355496.402,55000000
registry,confluent_schema_registry,google_speed,cached_serializer_string,one_string_ten_int64,6,1000000,55,66303084.000,66.303,15082254.696,55000000
registry,confluent_schema_registry,google_speed,cached_serializer_string,one_string_ten_int64,7,1000000,55,64371723.000,64.372,15534771.378,55000000
registry,confluent_schema_registry,google_speed,cached_serializer_string,one_string_ten_int64,8,1000000,55,64483187.000,64.483,15507918.366,55000000
registry,confluent_schema_registry,google_speed,cached_serializer_string,one_string_ten_int64,9,1000000,55,64836816.000,64.837,15423336.026,55000000
registry,confluent_schema_registry,google_speed,cached_serializer_string,one_string_ten_int64,10,1000000,55,64900907.000,64.901,15408105.159,55000000
registry,confluent_schema_registry,google_speed,cached_id_framed_in_place,one_string_ten_decimal_strings,1,1000000,219,163632010.000,163.632,6111273.705,219000000
registry,confluent_schema_registry,google_speed,cached_id_framed_in_place,one_string_ten_decimal_strings,2,1000000,219,164373917.000,164.374,6083690.273,219000000
registry,confluent_schema_registry,google_speed,cached_id_framed_in_place,one_string_ten_decimal_strings,3,1000000,219,164367979.000,164.368,6083910.054,219000000
registry,confluent_schema_registry,google_speed,cached_id_framed_in_place,one_string_ten_decimal_strings,4,1000000,219,163764996.000,163.765,6106311.021,219000000
registry,confluent_schema_registry,google_speed,cached_id_framed_in_place,one_string_ten_decimal_strings,5,1000000,219,170202234.000,170.202,5875363.540,219000000
registry,confluent_schema_registry,google_speed,cached_id_framed_in_place,one_string_ten_decimal_strings,6,1000000,219,163703909.000,163.704,6108589.624,219000000
registry,confluent_schema_registry,google_speed,cached_id_framed_in_place,one_string_ten_decimal_strings,7,1000000,219,164539016.000,164.539,6077585.878,219000000
registry,confluent_schema_registry,google_speed,cached_id_framed_in_place,one_string_ten_decimal_strings,8,1000000,219,165257739.000,165.258,6051153.828,219000000
registry,confluent_schema_registry,google_speed,cached_id_framed_in_place,one_string_ten_decimal_strings,9,1000000,219,165627288.000,165.627,6037652.443,219000000
registry,confluent_schema_registry,google_speed,cached_id_framed_in_place,one_string_ten_decimal_strings,10,1000000,219,166144063.000,166.144,6018872.910,219000000
registry,confluent_schema_registry,google_speed,cached_id_framed_with_copy,one_string_ten_decimal_strings,1,1000000,219,168907795.000,168.908,5920389.879,219000000
registry,confluent_schema_registry,google_speed,cached_id_framed_with_copy,one_string_ten_decimal_strings,2,1000000,219,165988433.000,165.988,6024516.178,219000000
registry,confluent_schema_registry,google_speed,cached_id_framed_with_copy,one_string_ten_decimal_strings,3,1000000,219,168096285.000,168.096,5948971.448,219000000
registry,confluent_schema_registry,google_speed,cached_id_framed_with_copy,one_string_ten_decimal_strings,4,1000000,219,170157745.000,170.158,5876899.697,219000000
registry,confluent_schema_registry,google_speed,cached_id_framed_with_copy,one_string_ten_decimal_strings,5,1000000,219,168553071.000,168.553,5932849.482,219000000
registry,confluent_schema_registry,google_speed,cached_id_framed_with_copy,one_string_ten_decimal_strings,6,1000000,219,168489899.000,168.490,5935073.888,219000000
registry,confluent_schema_registry,google_speed,cached_id_framed_with_copy,one_string_ten_decimal_strings,7,1000000,219,169267925.000,169.268,5907793.813,219000000
registry,confluent_schema_registry,google_speed,cached_id_framed_with_copy,one_string_ten_decimal_strings,8,1000000,219,168721988.000,168.722,5926909.775,219000000
registry,confluent_schema_registry,google_speed,cached_id_framed_with_copy,one_string_ten_decimal_strings,9,1000000,219,169417388.000,169.417,5902581.853,219000000
registry,confluent_schema_registry,google_speed,cached_id_framed_with_copy,one_string_ten_decimal_strings,10,1000000,219,168796565.000,168.797,5924291.173,219000000
registry,confluent_schema_registry,google_speed,cached_serializer_string,one_string_ten_decimal_strings,1,1000000,219,177138801.000,177.139,5645290.554,219000000
registry,confluent_schema_registry,google_speed,cached_serializer_string,one_string_ten_decimal_strings,2,1000000,219,177968978.000,177.969,5618956.805,219000000
