mode,threads,repetition,iterations,bytes,elapsed_ns,ns_per_encode,encodes_per_second,checksum
shared_buffer_mutex,1,1,1000000,49,67812998.000,67.813,14746435.484,49000000
shared_buffer_mutex,1,2,1000000,49,70080604.000,70.081,14269283.410,49000000
shared_buffer_mutex,1,3,1000000,49,68665465.000,68.665,14563361.655,49000000
shared_buffer_mutex,1,4,1000000,49,69355475.000,69.355,14418472.370,49000000
shared_buffer_mutex,1,5,1000000,49,69786815.000,69.787,14329354.334,49000000
shared_buffer_mutex,1,6,1000000,49,70989120.000,70.989,14086665.675,49000000
shared_buffer_mutex,1,7,1000000,49,69897663.000,69.898,14306629.966,49000000
shared_buffer_mutex,1,8,1000000,49,70538712.000,70.539,14176612.695,49000000
shared_buffer_mutex,1,9,1000000,49,70264312.000,70.264,14231975.971,49000000
shared_buffer_mutex,1,10,1000000,49,69680901.000,69.681,14351134.754,49000000
