kind,library,codegen,api,test_case,repetition,iterations,bytes,elapsed_ns,ns_per_encode,encodes_per_second,checksum
protobuf,google_protobuf,speed,SerializeToString,one_string_ten_int64,1,1000000,49,65113669.000,65.114,15357758.445,49000000
protobuf,google_protobuf,speed,SerializeToString,one_string_ten_int64,2,1000000,49,64771151.000,64.771,15438972.205,49000000
protobuf,google_protobuf,speed,SerializeToString,one_string_ten_int64,3,1000000,49,64508031.000,64.508,15501945.796,49000000
protobuf,google_protobuf,speed,SerializeToString,one_string_ten_int64,4,1000000,49,64374196.000,64.374,15534174.594,49000000
protobuf,google_protobuf,speed,SerializeToString,one_string_ten_int64,5,1000000,49,65688911.000,65.689,15223269.571,49000000
protobuf,google_protobuf,speed,SerializeToString,one_string_ten_int64,6,1000000,49,64325106.000,64.325,15546029.570,49000000
protobuf,google_protobuf,speed,SerializeToString,one_string_ten_int64,7,1000000,49,64441724.000,64.442,15517896.449,49000000
protobuf,google_protobuf,speed,SerializeToString,one_string_ten_int64,8,1000000,49,64233412.000,64.233,15568221.722,49000000
protobuf,google_protobuf,speed,SerializeToString,one_string_ten_int64,9,1000000,49,63079998.000,63.080,15852885.728,49000000
protobuf,google_protobuf,speed,SerializeToString,one_string_ten_int64,10,1000000,49,65305014.000,65.305,15312759.905,49000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,one_string_ten_int64,1,1000000,49,55857391.000,55.857,17902733.767,49000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,one_string_ten_int64,2,1000000,49,55897485.000,55.897,17889892.542,49000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,one_string_ten_int64,3,1000000,49,58530740.000,58.531,17085039.417,49000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,one_string_ten_int64,4,1000000,49,56360339.000,56.360,17742973.476,49000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,one_string_ten_int64,5,1000000,49,56632088.000,56.632,17657833.841,49000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,one_string_ten_int64,6,1000000,49,57857592.000,57.858,17283816.444,49000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,one_string_ten_int64,7,1000000,49,55446571.000,55.447,18035380.403,49000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,one_string_ten_int64,8,1000000,49,55337221.000,55.337,18071019.504,49000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,one_string_ten_int64,9,1000000,49,57385400.000,57.385,17426035.194,49000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,one_string_ten_int64,10,1000000,49,53355609.000,53.356,18742171.980,49000000
protobuf,google_protobuf,speed,SerializeToString,one_string_ten_decimal_strings,1,1000000,213,161005871.000,161.006,6210953.637,213000000
protobuf,google_protobuf,speed,SerializeToString,one_string_ten_decimal_strings,2,1000000,213,164400462.000,164.400,6082707.967,213000000
protobuf,google_protobuf,speed,SerializeToString,one_string_ten_decimal_strings,3,1000000,213,166829318.000,166.829,5994150.261,213000000
protobuf,google_protobuf,speed,SerializeToString,one_string_ten_decimal_strings,4,1000000,213,167917517.000,167.918,5955304.830,213000000
protobuf,google_protobuf,speed,SerializeToString,one_string_ten_decimal_strings,5,1000000,213,164022872.000,164.023,6096710.708,213000000
protobuf,google_protobuf,speed,SerializeToString,one_string_ten_decimal_strings,6,1000000,213,165167894.000,165.168,6054445.424,213000000
protobuf,google_protobuf,speed,SerializeToString,one_string_ten_decimal_strings,7,1000000,213,167255406.000,167.255,5978879.989,213000000
protobuf,google_protobuf,speed,SerializeToString,one_string_ten_decimal_strings,8,1000000,213,167476179.000,167.476,5970998.419,213000000
protobuf,google_protobuf,speed,SerializeToString,one_string_ten_decimal_strings,9,1000000,213,165014850.000,165.015,6060060.655,213000000
protobuf,google_protobuf,speed,SerializeToString,one_string_ten_decimal_strings,10,1000000,213,166246468.000,166.246,6015165.387,213000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,one_string_ten_decimal_strings,1,1000000,213,164021178.000,164.021,6096773.674,213000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,one_string_ten_decimal_strings,2,1000000,213,182783501.000,182.784,5470953.311,213000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,one_string_ten_decimal_strings,3,1000000,213,161473803.000,161.474,6192955.027,213000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,one_string_ten_decimal_strings,4,1000000,213,160607368.000,160.607,6226364.409,213000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,one_string_ten_decimal_strings,5,1000000,213,159556350.000,159.556,6267378.265,213000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,one_string_ten_decimal_strings,6,1000000,213,163755940.000,163.756,6106648.711,213000000
