kind,library,codegen,api,test_case,repetition,iterations,bytes,elapsed_ns,ns_per_encode,encodes_per_second,checksum
registry,confluent_schema_registry,google_speed,cached_id_framed_in_place,one_string_ten_int64,1,1000000,55,57836542.000,57.837,17290107.005,55000000
registry,confluent_schema_registry,google_speed,cached_id_framed_in_place,one_string_ten_int64,2,1000000,55,57204474.000,57.204,17481150.163,55000000
registry,confluent_schema_registry,google_speed,cached_id_framed_in_place,one_string_ten_int64,3,1000000,55,57707388.000,57.707,17328803.723,55000000
registry,confluent_schema_registry,google_speed,cached_id_framed_in_place,one_string_ten_int64,4,1000000,55,58504555.000,58.505,17092686.202,55000000
registry,confluent_schema_registry,google_speed,cached_id_framed_in_place,one_string_ten_int64,5,1000000,55,56106523.000,56.107,17823239.555,55000000
registry,confluent_schema_registry,google_speed,cached_id_framed_in_place,one_string_ten_int64,6,1000000,55,57065661.000,57.066,17523673.300,55000000
registry,confluent_schema_registry,google_speed,cached_id_framed_in_place,one_string_ten_int64,7,1000000,55,53826111.000,53.826,18578343.882,55000000
registry,confluent_schema_registry,google_speed,cached_id_framed_in_place,one_string_ten_int64,8,1000000,55,58238536.000,58.239,17170761.298,55000000
registry,confluent_schema_registry,google_speed,cached_id_framed_in_place,one_string_ten_int64,9,1000000,55,56678132.000,56.678,17643489.027,55000000
registry,confluent_schema_registry,google_speed,cached_id_framed_in_place,one_string_ten_int64,10,1000000,55,56790787.000,56.791,17608489.912,55000000
registry,confluent_schema_registry,google_speed,cached_id_framed_with_copy,one_string_ten_int64,1,1000000,55,61976157.000,61.976,16135237.298,55000000
registry,confluent_schema_registry,google_speed,cached_id_framed_with_copy,one_string_ten_int64,2,1000000,55,60124232.000,60.124,16632229.082,55000000
registry,confluent_schema_registry,google_speed,cached_id_framed_with_copy,one_string_ten_int64,3,1000000,55,60378169.000,60.378,16562277.667,55000000
registry,confluent_schema_registry,google_speed,cached_id_framed_with_copy,one_string_ten_int64,4,1000000,55,58427603.000,58.428,17115198.103,55000000
registry,confluent_schema_registry,google_speed,cached_id_framed_with_copy,one_string_ten_int64,5,1000000,55,61240738.000,61.241,16328999.824,55000000
registry,confluent_schema_registry,google_speed,cached_id_framed_with_copy,one_string_ten_int64,6,1000000,55,62346153.000,62.346,16039482.019,55000000
registry,confluent_schema_registry,google_speed,cached_id_framed_with_copy,one_string_ten_int64,7,1000000,55,60160608.000,60.161,16622172.435,55000000
registry,confluent_schema_registry,google_speed,cached_id_framed_with_copy,one_string_ten_int64,8,1000000,55,60638999.000,60.639,16491037.393,55000000
registry,confluent_schema_registry,google_speed,cached_id_framed_with_copy,one_string_ten_int64,9,1000000,55,60761880.000,60.762,16457686.958,55000000
registry,confluent_schema_registry,google_speed,cached_id_framed_with_copy,one_string_ten_int64,10,1000000,55,61212555.000,61.213,16336517.892,55000000
registry,confluent_schema_registry,google_speed,cached_serializer_string,one_string_ten_int64,1,1000000,55,66330414.000,66.330,15076040.382,55000000
registry,confluent_schema_registry,google_speed,cached_serializer_string,one_string_ten_int64,2,1000000,55,64885213.000,64.885,15411831.969,55000000
registry,confluent_schema_registry,google_speed,cached_serializer_string,one_string_ten_int64,3,1000000,55,66033236.000,66.033,15143889.056,55000000
registry,confluent_schema_registry,google_speed,cached_serializer_string,one_string_ten_int64,4,1000000,55,65348878.000,65.349,15302481.551,55000000
registry,confluent_schema_registry,google_speed,cached_serializer_string,one_string_ten_int64,5,1000000,55,65088329.000,65.088,15363737.484,55000000
registry,confluent_schema_registry,google_speed,cached_serializer_string,one_string_ten_int64,6,1000000,55,64650175.000,64.650,15467862.229,55000000
registry,confluent_schema_registry,google_speed,cached_serializer_string,one_string_ten_int64,7,1000000,55,64159147.000,64.159,15586242.130,55000000
registry,confluent_schema_registry,google_speed,cached_serializer_string,one_string_ten_int64,8,1000000,55,65495123.000,65.495,15268312.421,55000000
registry,confluent_schema_registry,google_speed,cached_serializer_string,one_string_ten_int64,9,1000000,55,66227405.000,66.227,15099489.403,55000000
registry,confluent_schema_registry,google_speed,cached_serializer_string,one_string_ten_int64,10,1000000,55,65747333.000,65.747,15209742.424,55000000
registry,confluent_schema_registry,google_speed,cached_id_framed_in_place,one_string_ten_decimal_strings,1,1000000,219,162867783.000,162.868,6139949.728,219000000
registry,confluent_schema_registry,google_speed,cached_id_framed_in_place,one_string_ten_decimal_strings,2,1000000,219,163116078.000,163.116,6130603.508,219000000
registry,confluent_schema_registry,google_speed,cached_id_framed_in_place,one_string_ten_decimal_strings,3,1000000,219,160274304.000,160.274,6239303.338,219000000
registry,confluent_schema_registry,google_speed,cached_id_framed_in_place,one_string_ten_decimal_strings,4,1000000,219,162623413.000,162.623,6149176.072,219000000
registry,confluent_schema_registry,google_speed,cached_id_framed_in_place,one_string_ten_decimal_strings,5,1000000,219,161807507.000,161.808,6180182.975,219000000
registry,confluent_schema_registry,google_speed,cached_id_framed_in_place,one_string_ten_decimal_strings,6,1000000,219,161815295.000,161.815,6179885.529,219000000
registry,confluent_schema_registry,google_speed,cached_id_framed_in_place,one_string_ten_decimal_strings,7,1000000,219,163098485.000,163.098,6131264.800,219000000
registry,confluent_schema_registry,google_speed,cached_id_framed_in_place,one_string_ten_decimal_strings,8,1000000,219,162383929.000,162.384,6158244.884,219000000
registry,confluent_schema_registry,google_speed,cached_id_framed_in_place,one_string_ten_decimal_strings,9,1000000,219,160983012.000,160.983,6211835.569,219000000
registry,confluent_schema_registry,google_speed,cached_id_framed_in_place,one_string_ten_decimal_strings,10,1000000,219,163400087.000,163.400,6119947.782,219000000
registry,confluent_schema_registry,google_speed,cached_id_framed_with_copy,one_string_ten_decimal_strings,1,1000000,219,166317521.000,166.318,6012595.630,219000000
registry,confluent_schema_registry,google_speed,cached_id_framed_with_copy,one_string_ten_decimal_strings,2,1000000,219,164823542.000,164.824,6067094.469,219000000
registry,confluent_schema_registry,google_speed,cached_id_framed_with_copy,one_string_ten_decimal_strings,3,1000000,219,166892077.000,166.892,5991896.188,219000000
registry,confluent_schema_registry,google_speed,cached_id_framed_with_copy,one_string_ten_decimal_strings,4,1000000,219,165898810.000,165.899,6027770.784,219000000
registry,confluent_schema_registry,google_speed,cached_id_framed_with_copy,one_string_ten_decimal_strings,5,1000000,219,167477990.000,167.478,5970933.852,219000000
registry,confluent_schema_registry,google_speed,cached_id_framed_with_copy,one_string_ten_decimal_strings,6,1000000,219,168966478.000,168.966,5918333.695,219000000
registry,confluent_schema_registry,google_speed,cached_id_framed_with_copy,one_string_ten_decimal_strings,7,1000000,219,166063734.000,166.064,6021784.383,219000000
registry,confluent_schema_registry,google_speed,cached_id_framed_with_copy,one_string_ten_decimal_strings,8,1000000,219,165179588.000,165.180,6054016.795,219000000
registry,confluent_schema_registry,google_speed,cached_id_framed_with_copy,one_string_ten_decimal_strings,9,1000000,219,169075781.000,169.076,5914507.649,219000000
registry,confluent_schema_registry,google_speed,cached_id_framed_with_copy,one_string_ten_decimal_strings,10,1000000,219,166486638.000,166.487,6006488.040,219000000
registry,confluent_schema_registry,google_speed,cached_serializer_string,one_string_ten_decimal_strings,1,1000000,219,175946638.000,175.947,5683541.393,219000000
registry,confluent_schema_registry,google_speed,cached_serializer_string,one_string_ten_decimal_strings,2,1000000,219,174534013.000,174.534,5729542.241,219000000
registry,confluent_schema_registry,google_speed,cached_serializer_string,one_string_ten_decimal_strings,3,1000000,219,175427449.000,175.427,5700362.205,219000000
registry,confluent_schema_registry,google_speed,cached_serializer_string,one_string_ten_decimal_strings,4,1000000,219,173870805.000,173.871,5751396.849,219000000
registry,confluent_schema_registry,google_speed,cached_serializer_string,one_string_ten_decimal_strings,5,1000000,219,177823526.000,177.824,5623552.870,219000000
registry,confluent_schema_registry,google_speed,cached_serializer_string,one_string_ten_decimal_strings,6,1000000,219,174832197.000,174.832,5719770.255,219000000
registry,confluent_schema_registry,google_speed,cached_serializer_string,one_string_ten_decimal_strings,7,1000000,219,173257387.000,173.257,5771759.677,219000000
registry,confluent_schema_registry,google_speed,cached_serializer_string,one_string_ten_decimal_strings,8,1000000,219,178014810.000,178.015,5617510.139,219000000
registry,confluent_schema_registry,google_speed,cached_serializer_string,one_string_ten_decimal_strings,9,1000000,219,176027984.000,176.028,5680914.916,219000000
registry,confluent_schema_registry,google_speed,cached_serializer_string,one_string_ten_decimal_strings,10,1000000,219,175923597.000,175.924,5684285.775,219000000
registry,confluent_schema_registry,google_speed,cached_id_framed_in_place,ten_strings_fifty_decimal_strings,1,1000000,1199,907276692.000,907.277,1102199.592,1199000000
registry,confluent_schema_registry,google_speed,cached_id_framed_in_place,ten_strings_fifty_decimal_strings,2,1000000,1199,907898599.000,907.899,1101444.590,1199000000
registry,confluent_schema_registry,google_speed,cached_id_framed_in_place,ten_strings_fifty_decimal_strings,3,1000000,1199,891767365.000,891.767,1121368.688,1199000000
registry,confluent_schema_registry,google_speed,cached_id_framed_in_place,ten_strings_fifty_decimal_strings,4,1000000,1199,901034299.000,901.034,1109835.665,1199000000
