kind,representation,api,test_case,repetition,iterations,bytes,elapsed_ns,ns_per_encode,encodes_per_second,checksum
protobuf,decimal_string,SerializeToArray_preallocated,one_string_ten_decimal,1,1000000,169,179622056.000,179.622,5567245.038,169000000
protobuf,decimal_string,SerializeToArray_preallocated,one_string_ten_decimal,2,1000000,169,179588318.000,179.588,5568290.917,169000000
protobuf,decimal_string,SerializeToArray_preallocated,one_string_ten_decimal,3,1000000,169,180656695.000,180.657,5535360.868,169000000
protobuf,decimal_string,SerializeToArray_preallocated,one_string_ten_decimal,4,1000000,169,180405416.000,180.405,5543070.836,169000000
protobuf,decimal_string,SerializeToArray_preallocated,one_string_ten_decimal,5,1000000,169,179485211.000,179.485,5571489.676,169000000
protobuf,decimal_string,SerializeToArray_preallocated,one_string_ten_decimal,6,1000000,169,177886887.000,177.887,5621549.834,169000000
protobuf,decimal_string,SerializeToArray_preallocated,one_string_ten_decimal,7,1000000,169,179928345.000,179.928,5557768.010,169000000
protobuf,decimal_string,SerializeToArray_preallocated,one_string_ten_decimal,8,1000000,169,179205137.000,179.205,5580197.179,169000000
protobuf,decimal_string,SerializeToArray_preallocated,one_string_ten_decimal,9,1000000,169,177636105.000,177.636,5629486.190,169000000
protobuf,decimal_string,SerializeToArray_preallocated,one_string_ten_decimal,10,1000000,169,180517309.000,180.517,5539634.983,169000000
protobuf,scaled_sint64_scale_8,SerializeToArray_preallocated,one_string_ten_decimal,1,1000000,79,68548528.000,68.549,14588205.308,79000000
protobuf,scaled_sint64_scale_8,SerializeToArray_preallocated,one_string_ten_decimal,2,1000000,79,68343601.000,68.344,14631947.766,79000000
protobuf,scaled_sint64_scale_8,SerializeToArray_preallocated,one_string_ten_decimal,3,1000000,79,68311856.000,68.312,14638747.335,79000000
protobuf,scaled_sint64_scale_8,SerializeToArray_preallocated,one_string_ten_decimal,4,1000000,79,68200313.000,68.200,14662689.305,79000000
protobuf,scaled_sint64_scale_8,SerializeToArray_preallocated,one_string_ten_decimal,5,1000000,79,68365869.000,68.366,14627181.876,79000000
protobuf,scaled_sint64_scale_8,SerializeToArray_preallocated,one_string_ten_decimal,6,1000000,79,68171730.000,68.172,14668837.068,79000000
protobuf,scaled_sint64_scale_8,SerializeToArray_preallocated,one_string_ten_decimal,7,1000000,79,68917254.000,68.917,14510154.453,79000000
protobuf,scaled_sint64_scale_8,SerializeToArray_preallocated,one_string_ten_decimal,8,1000000,79,68556059.000,68.556,14586602.768,79000000
protobuf,scaled_sint64_scale_8,SerializeToArray_preallocated,one_string_ten_decimal,9,1000000,79,69026411.000,69.026,14487208.382,79000000
protobuf,scaled_sint64_scale_8,SerializeToArray_preallocated,one_string_ten_decimal,10,1000000,79,68130025.000,68.130,14677816.425,79000000
protobuf,fixed64_scale_8,SerializeToArray_preallocated,one_string_ten_decimal,1,1000000,99,27352329.000,27.352,36559958.020,99000000
protobuf,fixed64_scale_8,SerializeToArray_preallocated,one_string_ten_decimal,2,1000000,99,27147198.000,27.147,36836214.183,99000000
protobuf,fixed64_scale_8,SerializeToArray_preallocated,one_string_ten_decimal,3,1000000,99,28009934.000,28.010,35701619.290,99000000
protobuf,fixed64_scale_8,SerializeToArray_preallocated,one_string_ten_decimal,4,1000000,99,27310106.000,27.310,36616481.825,99000000
protobuf,fixed64_scale_8,SerializeToArray_preallocated,one_string_ten_decimal,5,1000000,99,26740924.000,26.741,37395865.603,99000000
protobuf,fixed64_scale_8,SerializeToArray_preallocated,one_string_ten_decimal,6,1000000,99,26680855.000,26.681,37480058.266,99000000
protobuf,fixed64_scale_8,SerializeToArray_preallocated,one_string_ten_decimal,7,1000000,99,27525174.000,27.525,36330378.874,99000000
protobuf,fixed64_scale_8,SerializeToArray_preallocated,one_string_ten_decimal,8,1000000,99,25611270.000,25.611,39045310.912,99000000
protobuf,fixed64_scale_8,SerializeToArray_preallocated,one_string_ten_decimal,9,1000000,99,27476368.000,27.476,36394912.166,99000000
protobuf,fixed64_scale_8,SerializeToArray_preallocated,one_string_ten_decimal,10,1000000,99,27447378.000,27.447,36433352.577,99000000
protobuf,bytes_128bit_coefficient_scale_8,SerializeToArray_preallocated,one_string_ten_decimal,1,1000000,189,57784982.000,57.785,17305534.507,189000000
protobuf,bytes_128bit_coefficient_scale_8,SerializeToArray_preallocated,one_string_ten_decimal,2,1000000,189,57547753.000,57.548,17376873.081,189000000
protobuf,bytes_128bit_coefficient_scale_8,SerializeToArray_preallocated,one_string_ten_decimal,3,1000000,189,57434716.000,57.435,17411072.425,189000000
protobuf,bytes_128bit_coefficient_scale_8,SerializeToArray_preallocated,one_string_ten_decimal,4,1000000,189,57966645.000,57.967,17251300.295,189000000
protobuf,bytes_128bit_coefficient_scale_8,SerializeToArray_preallocated,one_string_ten_decimal,5,1000000,189,57549973.000,57.550,17376202.766,189000000
protobuf,bytes_128bit_coefficient_scale_8,SerializeToArray_preallocated,one_string_ten_decimal,6,1000000,189,58048668.000,58.049,17226924.139,189000000
protobuf,bytes_128bit_coefficient_scale_8,SerializeToArray_preallocated,one_string_ten_decimal,7,1000000,189,57927272.000,57.927,17263025.954,189000000
protobuf,bytes_128bit_coefficient_scale_8,SerializeToArray_preallocated,one_string_ten_decimal,8,1000000,189,58067192.000,58.067,17221428.582,189000000
protobuf,bytes_128bit_coefficient_scale_8,SerializeToArray_preallocated,one_string_ten_decimal,9,1000000,189,57865132.000,57.865,17281564.311,189000000
protobuf,bytes_128bit_coefficient_scale_8,SerializeToArray_preallocated,one_string_ten_decimal,10,1000000,189,57443911.000,57.444,17408285.449,189000000
