phase,repetition,status,bytes,elapsed_ns
register_v1,1,200,2400,311233879.000
register_v2,1,200,2422,40933178.000
lookup_versions,1,200,5,8631855.000
register_v1,2,200,2400,21913290.000
register_v2,2,200,2422,21249414.000
lookup_versions,2,200,5,2774601.000
register_v1,3,200,2400,18198409.000
register_v2,3,200,2422,18576368.000
lookup_versions,3,200,5,2641308.000
register_v1,4,200,2400,16927960.000
register_v2,4,200,2422,18450662.000
lookup_versions,4,200,5,2915945.000
register_v1,5,200,2400,16073995.000
register_v2,5,200,2422,22529378.000
lookup_versions,5,200,5,3725596.000
register_v1,6,200,2400,20438076.000
register_v2,6,200,2422,20302619.000
lookup_versions,6,200,5,2601477.000
register_v1,7,200,2400,21403058.000
register_v2,7,200,2422,17452975.000
lookup_versions,7,200,5,2199319.000
register_v1,8,200,2400,15124899.000
register_v2,8,200,2422,19966248.000
lookup_versions,8,200,5,2686334.000
register_v1,9,200,2400,15064934.000
register_v2,9,200,2422,19850228.000
lookup_versions,9,200,5,2800536.000
register_v1,10,200,2400,16309382.000
register_v2,10,200,2422,16922209.000
lookup_versions,10,200,5,2756755.000
