mode,threads,repetition,iterations,bytes,elapsed_ns,ns_per_encode,encodes_per_second,checksum
thread_local,2,1,1000000,49,43887904.000,43.888,22785321.441,49000000
thread_local,2,2,1000000,49,43776461.000,43.776,22843326.691,49000000
thread_local,2,3,1000000,49,43933737.000,43.934,22761551.106,49000000
thread_local,2,4,1000000,49,43960920.000,43.961,22747476.622,49000000
thread_local,2,5,1000000,49,43766176.000,43.766,22848694.846,49000000
thread_local,2,6,1000000,49,43805871.000,43.806,22827990.339,49000000
thread_local,2,7,1000000,49,43908378.000,43.908,22774696.893,49000000
thread_local,2,8,1000000,49,44057919.000,44.058,22697395.217,49000000
thread_local,2,9,1000000,49,43722794.000,43.723,22871365.448,49000000
thread_local,2,10,1000000,49,43933868.000,43.934,22761483.237,49000000
