kind,library,codegen,api,test_case,repetition,iterations,bytes,enqueue_elapsed_ns,flush_elapsed_ns,end_to_end_ns,ns_per_encode,encodes_per_second,delivery_errors,mode,acks,compression,linger_ms,batch_num_messages
kafka,confluent_librdkafka,google_speed,produce,one_string_ten_int64,1,1000000,49,42571510425.000,4379080681.000,46950591106.000,46950.591,21298.986,0,copy,0,none,0,1
kafka,confluent_librdkafka,google_speed,produce,one_string_ten_int64,2,1000000,49,40143846434.000,4416438418.000,44560284852.000,44560.285,22441.508,0,copy,0,none,0,1
kafka,confluent_librdkafka,google_speed,produce,one_string_ten_int64,3,1000000,49,39649458662.000,4390581141.000,44040039803.000,44040.040,22706.610,0,copy,0,none,0,1
kafka,confluent_librdkafka,google_speed,produce,one_string_ten_int64,4,1000000,49,39955425121.000,4420872717.000,44376297838.000,44376.298,22534.552,0,copy,0,none,0,1
kafka,confluent_librdkafka,google_speed,produce,one_string_ten_int64,5,1000000,49,39912268760.000,4386585526.000,44298854286.000,44298.854,22573.947,0,copy,0,none,0,1
kafka,confluent_librdkafka,google_speed,produce,one_string_ten_int64,6,1000000,49,40110136604.000,4380254845.000,44490391449.000,44490.391,22476.763,0,copy,0,none,0,1
kafka,confluent_librdkafka,google_speed,produce,one_string_ten_int64,7,1000000,49,40077736437.000,4521575012.000,44599311449.000,44599.311,22421.871,0,copy,0,none,0,1
kafka,confluent_librdkafka,google_speed,produce,one_string_ten_int64,8,1000000,49,40206781663.000,4432036299.000,44638817962.000,44638.818,22402.027,0,copy,0,none,0,1
kafka,confluent_librdkafka,google_speed,produce,one_string_ten_int64,9,1000000,49,40028476565.000,4453326703.000,44481803268.000,44481.803,22481.103,0,copy,0,none,0,1
kafka,confluent_librdkafka,google_speed,produce,one_string_ten_int64,10,1000000,49,40265238228.000,4400827453.000,44666065681.000,44666.066,22388.361,0,copy,0,none,0,1
kafka,confluent_librdkafka,google_speed,produce,one_string_ten_int64,1,1000000,49,1975880121.000,81279285.000,2057159406.000,2057.159,486107.201,0,copy,0,zstd,0,100
kafka,confluent_librdkafka,google_speed,produce,one_string_ten_int64,2,1000000,49,957336158.000,77478551.000,1034814709.000,1034.815,966356.577,0,copy,0,zstd,0,100
kafka,confluent_librdkafka,google_speed,produce,one_string_ten_int64,3,1000000,49,956234837.000,75649702.000,1031884539.000,1031.885,969100.672,0,copy,0,zstd,0,100
kafka,confluent_librdkafka,google_speed,produce,one_string_ten_int64,4,1000000,49,925883887.000,85676228.000,1011560115.000,1011.560,988571.994,0,copy,0,zstd,0,100
kafka,confluent_librdkafka,google_speed,produce,one_string_ten_int64,5,1000000,49,911284161.000,80066595.000,991350756.000,991.351,1008724.706,0,copy,0,zstd,0,100
kafka,confluent_librdkafka,google_speed,produce,one_string_ten_int64,6,1000000,49,931375331.000,80048959.000,1011424290.000,1011.424,988704.750,0,copy,0,zstd,0,100
kafka,confluent_librdkafka,google_speed,produce,one_string_ten_int64,7,1000000,49,944053649.000,86366620.000,1030420269.000,1030.420,970477.804,0,copy,0,zstd,0,100
kafka,confluent_librdkafka,google_speed,produce,one_string_ten_int64,8,1000000,49,951251650.000,68054993.000,1019306643.000,1019.307,981059.043,0,copy,0,zstd,0,100
kafka,confluent_librdkafka,google_speed,produce,one_string_ten_int64,9,1000000,49,920514277.000,75997917.000,996512194.000,996.512,1003500.013,0,copy,0,zstd,0,100
kafka,confluent_librdkafka,google_speed,produce,one_string_ten_int64,10,1000000,49,887029208.000,70231508.000,957260716.000,957.261,1044647.486,0,copy,0,zstd,0,100
kafka,confluent_librdkafka,google_speed,produce,one_string_ten_int64,1,1000000,49,46216428758.000,5030586892.000,51247015650.000,51247.016,19513.331,0,copy,0,zstd,5,1
kafka,confluent_librdkafka,google_speed,produce,one_string_ten_int64,2,1000000,49,45592564679.000,5023169472.000,50615734151.000,50615.734,19756.702,0,copy,0,zstd,5,1
kafka,confluent_librdkafka,google_speed,produce,one_string_ten_int64,3,1000000,49,45643950382.000,5046974433.000,50690924815.000,50690.925,19727.397,0,copy,0,zstd,5,1
kafka,confluent_librdkafka,google_speed,produce,one_string_ten_int64,4,1000000,49,45534970987.000,5040779869.000,50575750856.000,50575.751,19772.321,0,copy,0,zstd,5,1
kafka,confluent_librdkafka,google_speed,produce,one_string_ten_int64,5,1000000,49,45593950162.000,5029740012.000,50623690174.000,50623.690,19753.598,0,copy,0,zstd,5,1
kafka,confluent_librdkafka,google_speed,produce,one_string_ten_int64,6,1000000,49,45508427140.000,5026444744.000,50534871884.000,50534.872,19788.316,0,copy,0,zstd,5,1
kafka,confluent_librdkafka,google_speed,produce,one_string_ten_int64,7,1000000,49,45397088112.000,4977342271.000,50374430383.000,50374.430,19851.341,0,copy,0,zstd,5,1
kafka,confluent_librdkafka,google_speed,produce,one_string_ten_int64,8,1000000,49,45907459617.000,5062938917.000,50970398534.000,50970.399,19619.231,0,copy,0,zstd,5,1
kafka,confluent_librdkafka,google_speed,produce,one_string_ten_int64,9,1000000,49,45731558018.000,5095741679.000,50827299697.000,50827.300,19674.466,0,copy,0,zstd,5,1
