mode,test_case,repetition,iterations,completed,dropped,payload_bytes,hot_elapsed_ns,worker_wall_ns,hot_mean_ns,hot_p50_ns,hot_p99_ns,worker_mean_ns,worker_p50_ns,worker_p99_ns,checksum
sync_both,one_string_ten_int64,1,1000000,1000000,0,55,267605945,267605945,244.571,250,292,244.571,250,292,143000000
sync_both,one_string_ten_decimal_strings,1,1000000,1000000,0,219,340461386,340461386,318.451,333,375,318.451,333,375,421000000
sync_both,ten_strings_fifty_decimal_strings,1,1000000,1000000,0,1199,1314080260,1314080260,1289.544,1249,2541,1289.544,1249,2541,2287000000
sync_both,one_string_ten_int64,2,1000000,1000000,0,55,250260196,250260196,229.097,209,250,229.097,209,250,143000000
sync_both,one_string_ten_decimal_strings,2,1000000,1000000,0,219,335786921,335786921,314.222,292,334,314.222,292,334,421000000
sync_both,ten_strings_fifty_decimal_strings,2,1000000,1000000,0,1199,1258808104,1258808104,1236.156,1208,1333,1236.156,1208,1333,2287000000
sync_both,one_string_ten_int64,3,1000000,1000000,0,55,250530144,250530144,229.277,209,250,229.277,209,250,143000000
sync_both,one_string_ten_decimal_strings,3,1000000,1000000,0,219,338442363,338442363,316.610,333,375,316.610,333,375,421000000
sync_both,ten_strings_fifty_decimal_strings,3,1000000,1000000,0,1199,1280537124,1280537124,1256.044,1249,1375,1256.044,1249,1375,2287000000
sync_both,one_string_ten_int64,4,1000000,1000000,0,55,255655563,255655563,233.973,250,250,233.973,250,250,143000000
sync_both,one_string_ten_decimal_strings,4,1000000,1000000,0,219,336016168,336016168,314.395,333,334,314.395,333,334,421000000
sync_both,ten_strings_fifty_decimal_strings,4,1000000,1000000,0,1199,1283139909,1283139909,1260.402,1209,1375,1260.402,1209,1375,2287000000
sync_both,one_string_ten_int64,5,1000000,1000000,0,55,249264098,249264098,228.149,209,250,228.149,209,250,143000000
sync_both,one_string_ten_decimal_strings,5,1000000,1000000,0,219,331289172,331289172,310.014,292,334,310.014,292,334,421000000
sync_both,ten_strings_fifty_decimal_strings,5,1000000,1000000,0,1199,1258251045,1258251045,1234.681,1208,1333,1234.681,1208,1333,2287000000
sync_both,one_string_ten_int64,6,1000000,1000000,0,55,250013245,250013245,228.795,209,250,228.795,209,250,143000000
sync_both,one_string_ten_decimal_strings,6,1000000,1000000,0,219,332470650,332470650,311.123,292,334,311.123,292,334,421000000
sync_both,ten_strings_fifty_decimal_strings,6,1000000,1000000,0,1199,1257337349,1257337349,1235.555,1208,1333,1235.555,1208,1333,2287000000
sync_both,one_string_ten_int64,7,1000000,1000000,0,55,256398293,256398293,234.417,250,291,234.417,250,291,143000000
sync_both,one_string_ten_decimal_strings,7,1000000,1000000,0,219,333536360,333536360,312.091,292,375,312.091,292,375,421000000
sync_both,ten_strings_fifty_decimal_strings,7,1000000,1000000,0,1199,1265699679,1265699679,1242.421,1249,1334,1242.421,1249,1334,2287000000
sync_both,one_string_ten_int64,8,1000000,1000000,0,55,260763277,260763277,238.577,250,292,238.577,250,292,143000000
sync_both,one_string_ten_decimal_strings,8,1000000,1000000,0,219,344777671,344777671,322.543,333,375,322.543,333,375,421000000
sync_both,ten_strings_fifty_decimal_strings,8,1000000,1000000,0,1199,1282393262,1282393262,1259.499,1249,1416,1259.499,1249,1416,2287000000
sync_both,one_string_ten_int64,9,1000000,1000000,0,55,252325878,252325878,230.884,209,250,230.884,209,250,143000000
sync_both,one_string_ten_decimal_strings,9,1000000,1000000,0,219,330909371,330909371,309.590,292,334,309.590,292,334,421000000
sync_both,ten_strings_fifty_decimal_strings,9,1000000,1000000,0,1199,1299375623,1299375623,1272.682,1249,1458,1272.682,1249,1458,2287000000
sync_both,one_string_ten_int64,10,1000000,1000000,0,55,249313505,249313505,227.827,209,250,227.827,209,250,143000000
sync_both,one_string_ten_decimal_strings,10,1000000,1000000,0,219,361676881,361676881,338.044,333,709,338.044,333,709,421000000
sync_both,ten_strings_fifty_decimal_strings,10,1000000,1000000,0,1199,1263159715,1263159715,1237.316,1208,1333,1237.316,1208,1333,2287000000
async_handoff,one_string_ten_int64,1,1000000,1000000,0,55,81448935,81530461,46.096,42,84,19.898,0,42,0
async_handoff,one_string_ten_decimal_strings,1,1000000,1000000,0,219,115378580,115378664,67.038,83,84,19.942,0,42,0
async_handoff,ten_strings_fifty_decimal_strings,1,1000000,1000000,0,1199,120931249,120931291,68.933,83,84,19.855,0,42,0
async_handoff,one_string_ten_int64,2,1000000,1000000,0,55,86017421,86017462,50.759,42,84,19.857,0,42,0
async_handoff,one_string_ten_decimal_strings,2,1000000,1000000,0,219,121605910,121606034,68.848,83,84,20.053,0,42,0
async_handoff,ten_strings_fifty_decimal_strings,2,1000000,1000000,0,1199,119038617,119038700,68.255,83,84,20.130,0,42,0
async_handoff,one_string_ten_int64,3,1000000,1000000,0,55,96898136,96898219,61.204,42,84,20.180,0,42,0
async_handoff,one_string_ten_decimal_strings,3,1000000,1000000,0,219,119629086,119629544,68.368,83,84,19.855,0,42,0
async_handoff,ten_strings_fifty_decimal_strings,3,1000000,1000000,0,1199,117789861,117789902,67.710,83,84,19.964,0,42,0
async_handoff,one_string_ten_int64,4,1000000,1000000,0,55,83916372,83956072,49.382,42,84,19.918,0,42,0
async_handoff,one_string_ten_decimal_strings,4,1000000,1000000,0,219,119412420,119412503,68.265,83,84,19.852,0,42,0
async_handoff,ten_strings_fifty_decimal_strings,4,1000000,1000000,0,1199,120359361,120359485,68.703,83,84,19.969,0,42,0
async_handoff,one_string_ten_int64,5,1000000,1000000,0,55,88625996,88626205,52.726,42,84,19.795,0,42,0
async_handoff,one_string_ten_decimal_strings,5,1000000,1000000,0,219,119909282,119909407,68.866,83,84,20.112,0,42,0
async_handoff,ten_strings_fifty_decimal_strings,5,1000000,1000000,0,1199,118532216,118532340,67.840,83,84,19.913,0,42,0
async_handoff,one_string_ten_int64,6,1000000,1000000,0,55,86488538,86488621,51.011,42,84,19.817,0,42,0
