kind,library,codegen,api,test_case,repetition,iterations,bytes,elapsed_ns,ns_per_encode,encodes_per_second,checksum
protobuf,google_protobuf,speed,SerializeToString,one_string_ten_int64,1,1000000,49,81922505.000,81.923,12206657.987,49000000
protobuf,google_protobuf,speed,SerializeToString,one_string_ten_int64,2,1000000,49,76725278.000,76.725,13033514.196,49000000
protobuf,google_protobuf,speed,SerializeToString,one_string_ten_int64,3,1000000,49,76301439.000,76.301,13105912.721,49000000
protobuf,google_protobuf,speed,SerializeToString,one_string_ten_int64,4,1000000,49,78719851.000,78.720,12703276.077,49000000
protobuf,google_protobuf,speed,SerializeToString,one_string_ten_int64,5,1000000,49,77768391.000,77.768,12858694.736,49000000
protobuf,google_protobuf,speed,SerializeToString,one_string_ten_int64,6,1000000,49,77359807.000,77.360,12926609.292,49000000
protobuf,google_protobuf,speed,SerializeToString,one_string_ten_int64,7,1000000,49,76768290.000,76.768,13026211.734,49000000
protobuf,google_protobuf,speed,SerializeToString,one_string_ten_int64,8,1000000,49,76314026.000,76.314,13103751.072,49000000
protobuf,google_protobuf,speed,SerializeToString,one_string_ten_int64,9,1000000,49,76650963.000,76.651,13046150.510,49000000
protobuf,google_protobuf,speed,SerializeToString,one_string_ten_int64,10,1000000,49,75331431.000,75.331,13274671.498,49000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,one_string_ten_int64,1,1000000,49,65545706.000,65.546,15256529.543,49000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,one_string_ten_int64,2,1000000,49,93923538.000,93.924,10646958.380,49000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,one_string_ten_int64,3,1000000,49,71641544.000,71.642,13958381.466,49000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,one_string_ten_int64,4,1000000,49,68677339.000,68.677,14560843.716,49000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,one_string_ten_int64,5,1000000,49,65910861.000,65.911,15172006.325,49000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,one_string_ten_int64,6,1000000,49,67395735.000,67.396,14837734.168,49000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,one_string_ten_int64,7,1000000,49,67913228.000,67.913,14724671.900,49000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,one_string_ten_int64,8,1000000,49,67187879.000,67.188,14883636.973,49000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,one_string_ten_int64,9,1000000,49,72309542.000,72.310,13829433.465,49000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,one_string_ten_int64,10,1000000,49,66373795.000,66.374,15066186.889,49000000
protobuf,google_protobuf,speed,SerializeToString,one_string_ten_decimal_strings,1,1000000,213,230649478.000,230.649,4335583.192,213000000
protobuf,google_protobuf,speed,SerializeToString,one_string_ten_decimal_strings,2,1000000,213,226656331.000,226.656,4411965.885,213000000
protobuf,google_protobuf,speed,SerializeToString,one_string_ten_decimal_strings,3,1000000,213,432733526.000,432.734,2310890.975,213000000
