test_case,representation,bytes,repetition,iterations,elapsed_ns,ns_per_encode,encodes_per_second,checksum
positive_small,int64,49,1,1000000,91251532.000,91.252,10958720.123,49000000
positive_small,int64,49,2,1000000,90500196.000,90.500,11049699.826,49000000
positive_small,int64,49,3,1000000,90070319.000,90.070,11102436.531,49000000
positive_small,int64,49,4,1000000,100161767.000,100.162,9983849.426,49000000
positive_small,int64,49,5,1000000,138521886.000,138.522,7219075.836,49000000
positive_small,int64,49,6,1000000,134357122.000,134.357,7442850.704,49000000
positive_small,int64,49,7,1000000,183388066.000,183.388,5452917.531,49000000
positive_small,int64,49,8,1000000,160591996.000,160.592,6226960.402,49000000
positive_small,int64,49,9,1000000,171159861.000,171.160,5842491.307,49000000
positive_small,int64,49,10,1000000,138907845.000,138.908,7199017.449,49000000
positive_small,fixed64,99,1,1000000,120835290.000,120.835,8275728.059,99000000
positive_small,fixed64,99,2,1000000,121300915.000,121.301,8243960.897,99000000
positive_small,fixed64,99,3,1000000,111746512.000,111.747,8948825.177,99000000
positive_small,fixed64,99,4,1000000,123462173.000,123.462,8099646.845,99000000
positive_small,fixed64,99,5,1000000,94370083.000,94.370,10596578.579,99000000
positive_small,fixed64,99,6,1000000,81606044.000,81.606,12253994.324,99000000
positive_small,fixed64,99,7,1000000,75983568.000,75.984,13160740.227,99000000
positive_small,fixed64,99,8,1000000,62612152.000,62.612,15971340.515,99000000
positive_small,fixed64,99,9,1000000,77781032.000,77.781,12856604.937,99000000
positive_small,fixed64,99,10,1000000,73253226.000,73.253,13651275.918,99000000
positive_scaled_price,int64,79,1,1000000,111743094.000,111.743,8949098.904,79000000
positive_scaled_price,int64,79,2,1000000,118002114.000,118.002,8474424.450,79000000
positive_scaled_price,int64,79,3,1000000,112625556.000,112.626,8878979.474,79000000
positive_scaled_price,int64,79,4,1000000,129952484.000,129.952,7695120.318,79000000
positive_scaled_price,int64,79,5,1000000,132568367.000,132.568,7543277.651,79000000
positive_scaled_price,int64,79,6,1000000,117511654.000,117.512,8509794.271,79000000
positive_scaled_price,int64,79,7,1000000,117488154.000,117.488,8511496.402,79000000
positive_scaled_price,int64,79,8,1000000,144695447.000,144.695,6911067.492,79000000
positive_scaled_price,int64,79,9,1000000,198286861.000,198.287,5043198.500,79000000
positive_scaled_price,int64,79,10,1000000,116525692.000,116.526,8581798.424,79000000
positive_scaled_price,fixed64,99,1,1000000,79537370.000,79.537,12572706.389,99000000
positive_scaled_price,fixed64,99,2,1000000,68326669.000,68.327,14635573.703,99000000
positive_scaled_price,fixed64,99,3,1000000,70135758.000,70.136,14258062.200,99000000
positive_scaled_price,fixed64,99,4,1000000,87650604.000,87.651,11408934.501,99000000
positive_scaled_price,fixed64,99,5,1000000,63767238.000,63.767,15682034.088,99000000
positive_scaled_price,fixed64,99,6,1000000,66099329.000,66.099,15128746.617,99000000
positive_scaled_price,fixed64,99,7,1000000,65629744.000,65.630,15236993.763,99000000
positive_scaled_price,fixed64,99,8,1000000,72991142.000,72.991,13700292.564,99000000
positive_scaled_price,fixed64,99,9,1000000,63356320.000,63.356,15783745.015,99000000
positive_scaled_price,fixed64,99,10,1000000,76244235.000,76.244,13115745.735,99000000
positive_near_max,int64,109,1,1000000,148423583.000,148.424,6737473.788,109000000
positive_near_max,int64,109,2,1000000,143938527.000,143.939,6947410.265,109000000
positive_near_max,int64,109,3,1000000,116470443.000,116.470,8585869.292,109000000
positive_near_max,int64,109,4,1000000,106453661.000,106.454,9393758.661,109000000
positive_near_max,int64,109,5,1000000,133274620.000,133.275,7503304.080,109000000
positive_near_max,int64,109,6,1000000,107228331.000,107.228,9325893.546,109000000
positive_near_max,int64,109,7,1000000,112904390.000,112.904,8857051.528,109000000
positive_near_max,int64,109,8,1000000,123208213.000,123.208,8116342.049,109000000
positive_near_max,int64,109,9,1000000,126200223.000,126.200,7923916.268,109000000
positive_near_max,int64,109,10,1000000,109010961.000,109.011,9173389.454,109000000
positive_near_max,fixed64,99,1,1000000,63051611.000,63.052,15860022.990,99000000
positive_near_max,fixed64,99,2,1000000,61944899.000,61.945,16143379.296,99000000
positive_near_max,fixed64,99,3,1000000,60355769.000,60.356,16568424.470,99000000
positive_near_max,fixed64,99,4,1000000,60645562.000,60.646,16489252.750,99000000
positive_near_max,fixed64,99,5,1000000,62411693.000,62.412,16022638.578,99000000
positive_near_max,fixed64,99,6,1000000,63454404.000,63.454,15759347.452,99000000
positive_near_max,fixed64,99,7,1000000,63798739.000,63.799,15674290.992,99000000
positive_near_max,fixed64,99,8,1000000,62348734.000,62.349,16038818.046,99000000
positive_near_max,fixed64,99,9,1000000,64056531.000,64.057,15611210.666,99000000
positive_near_max,fixed64,99,10,1000000,63246236.000,63.246,15811217.604,99000000
